Date,Open,High,Low,Close,Adj Close,Volume,Ticker,prev_Close,prev_Volume,50SMA,200SMA,50SMA_vol,bb_upperband,bb_lowerband,bb_lb_cross,bb_ub_cross,macd_line,macd_hist,macd_signal,macd_trend,macd_trend_reversal,uptrend_days,downtrend_days,roc,roc_buy_signal,roc_sell_signal,rsi,rsi_buy_signal,rsi_sell_signal,volChange,volSurgeInd,is52wkHigh,is52wkLow,50gt200,tradingabv50SMA,gap_pct
6/30/23,120.17,121.08,119.69,119.7,119.7,29519700,GOOGL,119.1,24090900,117.34,101.87,34641850,127.3,117.64,0,0,0.2,-0.92,1.12,Downtrend,FALSE,0,20,58.56,FALSE,FALSE,47.73,FALSE,FALSE,0.85,0,0,0,1,1,0.5
6/29/23,119.24,120.06,118.3,119.1,119.1,24090900,GOOGL,120.18,27091400,117.03,101.79,34691960,127.36,117.99,0,0,0.34,-1.02,1.35,Downtrend,FALSE,0,19,58.56,FALSE,FALSE,46.1,FALSE,FALSE,0.69,0,0,0,1,1,-0.9
6/28/23,117.09,120.39,116.85,120.18,120.18,27091400,GOOGL,118.33,39535900,116.74,101.75,34901556,127.25,118.47,0,0,0.56,-1.05,1.61,Downtrend,FALSE,0,18,56.67,FALSE,FALSE,48.64,FALSE,FALSE,0.78,0,0,0,1,1,1.56
6/27/23,117.08,119.08,116.1,118.33,118.33,39535900,GOOGL,118.34,33969900,116.45,101.7,34642398,127.26,118.81,1,0,0.73,-1.14,1.87,Downtrend,FALSE,0,17,44.23,FALSE,FALSE,43.7,FALSE,FALSE,1.14,0,0,0,1,1,-0.01
6/26/23,120.76,122,118.27,118.34,118.34,33969900,GOOGL,122.34,34885300,116.26,101.65,34459872,127.02,119.67,1,0,1.12,-1.03,2.16,Downtrend,FALSE,0,16,50.39,FALSE,FALSE,43.72,FALSE,FALSE,0.99,0,0,0,1,1,-3.27
6/23/23,121.38,122.79,121.06,122.34,122.34,34885300,GOOGL,123.15,26952200,116.05,101.61,34249572,126.47,120.74,0,0,1.61,-0.8,2.41,Downtrend,FALSE,0,15,61.98,FALSE,FALSE,53.28,FALSE,FALSE,1.02,0,0,0,1,1,-0.66
6/22/23,120,123.24,118.83,123.15,123.15,26952200,GOOGL,120.55,30306300,115.69,101.53,34236764,126.59,120.48,0,0,1.8,-0.82,2.61,Downtrend,FALSE,0,14,66.36,FALSE,FALSE,55.56,FALSE,FALSE,0.79,0,0,0,1,1,2.16
6/21/23,122.4,122.66,120.1,120.55,120.55,30306300,GOOGL,123.1,26097500,115.34,101.45,34171986,126.59,120.42,0,0,1.93,-0.89,2.82,Downtrend,FALSE,0,13,61.92,FALSE,FALSE,49.05,FALSE,FALSE,0.89,0,0,0,1,1,-2.07
6/20/23,122.93,124.57,122.14,123.1,123.1,26097500,GOOGL,123.53,45514000,115.05,101.4,34624266,126.56,120.89,0,0,2.33,-0.71,3.04,Downtrend,FALSE,0,12,74.32,FALSE,FALSE,56.6,FALSE,FALSE,0.75,0,0,0,1,1,-0.35
6/16/23,125.93,126.11,123.28,123.53,123.53,45514000,GOOGL,125.09,35246300,114.76,101.33,34279796,126.57,120.86,0,0,2.56,-0.66,3.22,Downtrend,FALSE,0,11,72.28,FALSE,FALSE,57.99,FALSE,FALSE,1.33,0,0,0,1,1,-1.25
6/15/23,123.14,125.46,122.4,125.09,125.09,35246300,GOOGL,123.67,30592300,114.38,101.25,34063272,126.56,120.8,0,0,2.76,-0.63,3.38,Downtrend,FALSE,0,10,78.15,FALSE,FALSE,63.25,FALSE,FALSE,1.03,0,0,0,1,1,1.15
6/14/23,123.1,124.05,121.45,123.67,123.67,30592300,GOOGL,123.83,22278300,113.97,101.17,33952134,126.52,120.41,0,0,2.82,-0.72,3.54,Downtrend,FALSE,0,9,80.38,FALSE,FALSE,60.2,FALSE,FALSE,0.9,0,0,0,1,1,-0.13
6/13/23,124.98,125.16,123.18,123.83,123.83,22278300,GOOGL,123.64,28306400,113.59,101.11,34243836,126.76,119.75,0,0,3,-0.72,3.72,Downtrend,FALSE,0,8,81.26,FALSE,FALSE,60.73,FALSE,FALSE,0.65,0,0,0,1,1,0.15
6/12/23,122.79,124.05,121.66,123.64,123.64,28306400,GOOGL,122.23,23762500,113.18,101.07,34339432,127.45,118.33,0,0,3.17,-0.73,3.9,Downtrend,FALSE,0,7,82.63,FALSE,FALSE,60.35,FALSE,FALSE,0.82,0,0,0,1,1,1.15
6/9/23,122.25,123.76,121.91,122.23,122.23,23762500,GOOGL,122.14,29389200,112.73,101.02,34439774,127.69,117.48,0,0,3.36,-0.73,4.09,Downtrend,FALSE,0,6,78.98,FALSE,FALSE,57.49,FALSE,FALSE,0.69,0,0,0,1,1,0.07
6/8/23,122.23,123.23,121.24,122.14,122.14,29389200,GOOGL,122.5,52539000,112.31,100.98,34493148,128.04,116.56,0,0,3.7,-0.57,4.27,Downtrend,FALSE,0,5,78.99,FALSE,FALSE,57.31,FALSE,FALSE,0.85,0,0,0,1,1,-0.29
6/7/23,126.97,129.04,122.12,122.5,122.5,52539000,GOOGL,127.31,26638300,111.89,100.94,34064786,129.14,114.42,0,0,4.09,-0.32,4.41,Downtrend,FALSE,0,4,74.82,FALSE,FALSE,58.24,FALSE,FALSE,1.54,0,0,0,1,1,-3.78
6/6/23,126.01,128.29,125.36,127.31,127.31,26638300,GOOGL,126.01,32305500,111.49,100.91,34139886,130.69,111.36,0,0,4.48,-0.01,4.49,Downtrend,FALSE,0,3,95.35,FALSE,FALSE,72.87,FALSE,TRUE,0.78,0,1,0,1,1,1.03
6/5/23,124.01,127.43,123.84,126.01,126.01,32305500,GOOGL,124.67,26963100,111.05,100.88,34309732,130.85,109.24,0,0,4.44,-0.06,4.49,Downtrend,FALSE,0,2,85.41,FALSE,FALSE,71.05,FALSE,FALSE,0.94,0,1,0,1,1,1.07
6/2/23,123.99,126.15,123.76,124.67,124.67,26963100,GOOGL,123.72,30772700,110.64,100.85,34639018,131.17,106.88,0,0,4.44,-0.06,4.51,Downtrend,TRUE,0,1,84.31,FALSE,FALSE,69.05,FALSE,FALSE,0.78,0,0,0,1,1,0.77
6/1/23,122.82,124.42,122.62,123.72,123.72,30772700,GOOGL,122.87,37325800,110.22,100.83,34865770,131.37,104.68,0,0,4.53,0,4.52,Uptrend,FALSE,16,0,83.21,FALSE,FALSE,67.58,FALSE,FALSE,0.88,0,0,0,1,1,0.69
5/31/23,122.75,124.06,122.5,122.87,122.87,37325800,GOOGL,123.67,35076700,109.84,100.82,34778462,131.26,102.96,0,0,4.66,0.14,4.52,Uptrend,FALSE,15,0,89.07,FALSE,FALSE,66.25,FALSE,FALSE,1.07,0,0,0,1,1,-0.65
